object_id,entity_type,parent_id,name,category_code,status,start_dates,end_dates,time_elapsed_months,country_code,state_code,city,region,investment_rounds,invested_companies,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
c:371,Company,,Aniboom,games_video,operating,2006-01-01,2008-06-01,29.0,ISR,,,TBD,0,0,2,14500000.0,2008-06-27,2012-10-11,5,11
c:37114,Company,,Svelte Medical Systems,medical,operating,2007-01-01,2013-10-31,82.0,USA,NJ,New Providence,New Providence,0,0,6,63288621.0,,,0,3
c:37140,Company,,Traackr,social,operating,2008-02-01,2012-10-11,56.0,USA,CA,San Francisco,SF Bay,0,0,3,2466995.0,2012-03-21,2013-03-04,2,11
c:37145,Company,,BMRW & Associates,social,operating,2009-03-01,2011-05-17,27.0,USA,OH,Dover,Dover,0,0,3,874687.0,2009-09-01,2010-10-08,2,3
c:37147,Company,,GageIn,enterprise,operating,2009-11-09,2011-10-19,23.0,USA,CA,Alviso,SF Bay,0,0,1,0.0,2011-05-01,2012-02-23,2,5
c:37151,Company,,Penthera Partners,mobile,operating,2006-01-06,2009-12-08,47.0,USA,PA,Pittsburgh,Pittsburg,0,0,4,7800000.0,2008-01-01,2008-01-01,1,11
c:37153,Company,,CouchOne,software,closed,2009-01-01,2009-11-23,11.0,USA,CA,Oakland,SF Bay,0,0,1,2000000.0,2010-08-24,2011-02-07,2,6
c:37156,Company,,Micronotes,analytics,operating,2008-01-01,2009-11-30,23.0,USA,MA,Cambridge,Boston,0,0,1,301076.0,2013-01-01,2013-01-01,1,3
c:37158,Company,,LayerBoom,network_hosting,acquired,2009-04-06,2009-11-08,7.0,CAN,,Vancouver,Vancouver,0,0,1,200000.0,2009-04-06,2009-04-06,1,2
c:37164,Company,,DNA Games,games_video,acquired,2009-01-01,2010-01-05,12.0,USA,CA,San Bruno,SF Bay,0,0,2,2000000.0,2009-07-01,2011-05-18,2,6
c:37165,Company,,ExSafe,software,operating,2006-01-01,2008-04-01,27.0,IRL,,Dublin,Dublin,0,0,1,1200000.0,,,0,2
c:3717,Company,,itzbig,search,closed,2006-06-01,2007-02-27,9.0,USA,TX,Austin,Austin,0,0,1,4000000.0,2007-08-01,2010-04-30,2,9
c:37172,Company,,Design Clinicals,software,operating,2007-01-01,2009-11-30,35.0,USA,WA,Seattle,Seattle,0,0,1,432299.0,2005-08-01,2005-08-01,1,1
c:37173,Company,,Five Star Technologies,other,closed,1999-01-01,2009-11-24,131.0,USA,OH,Cleveland,Cleveland,0,0,3,13222860.0,,,0,4
c:37175,Company,,Perillon Software,software,operating,2005-01-01,2012-07-17,90.0,USA,MA,Littleton,Boston,0,0,3,1325000.0,2005-07-01,2005-07-01,1,3
c:37176,Company,,Alternative Green Technologies,cleantech,closed,1987-01-01,2009-11-24,275.0,USA,NY,Uniondale,Uniondale,0,0,1,10000.0,,,0,2
c:37177,Company,,TransMedics,medical,operating,1998-01-01,2012-11-21,179.0,USA,MA,Andover,Boston,0,0,7,137173982.0,2012-01-01,2012-01-01,1,17
c:37180,Company,,Raser Technologies,cleantech,ipo,2003-01-01,2009-12-08,83.0,USA,UT,Provo,Salt Lake City,0,0,1,30000000.0,2011-03-18,2011-03-18,1,3
c:37184,Company,,Tigerlily,advertising,operating,2010-05-01,2011-05-03,12.0,FRA,,Paris,Paris,0,0,1,1300000.0,2011-05-03,2012-04-19,2,3
c:37194,Company,,Clarity Health Services,ecommerce,operating,2007-07-01,2013-12-04,77.0,USA,WA,Seattle,Seattle,0,0,2,11219390.0,,,0,2
c:37199,Company,,Wikidot,network_hosting,operating,2007-01-01,2007-01-01,0.0,POL,,Torun,Torun,0,0,1,0.0,2010-03-01,2010-03-01,1,1
c:37200,Company,,Yunait,web,operating,2009-10-20,2011-04-12,18.0,ESP,,Madrid,Madrid,0,0,1,2894000.0,2009-01-01,2012-04-12,2,3
c:37205,Company,,adform,advertising,operating,2002-01-01,2010-01-06,96.0,DNK,,Copenhagen,DNK,0,0,1,0.0,2011-09-01,2011-09-01,1,8
c:37215,Company,,Dashwire,mobile,acquired,2006-08-11,2010-12-28,53.0,USA,WA,Seattle,Seattle,0,0,3,5056559.0,2010-01-01,2011-08-05,2,10
c:37216,Company,,FanGager (MyBrandz),web,operating,2009-02-01,2009-02-01,0.0,USA,NY,New York,New York,0,0,1,400000.0,2009-11-06,2010-03-12,2,1
c:37217,Company,,Myriant Technologies,biotech,operating,2005-01-01,2011-01-24,73.0,USA,MA,Quincy,Boston,0,0,2,110000000.0,2011-05-31,2011-05-31,1,4
c:37235,Company,,Vivid Logic,games_video,acquired,1999-12-01,2009-12-03,120.0,USA,CA,Fremont,SF Bay,0,0,2,5999997.0,,,0,1
c:37237,Company,,Nautilus Neurosciences,biotech,operating,2009-01-01,2010-04-22,16.0,USA,NJ,Bridgewater,Bridgewater,0,0,3,42755532.0,2011-10-01,2011-10-01,1,9
c:37239,Company,,Moonshado,messaging,operating,2007-01-01,2011-09-20,57.0,USA,IL,Chicago,Chicago,0,0,2,300000.0,2011-01-01,2011-01-01,1,2
c:37240,Company,,Nexidia,analytics,operating,2000-01-01,2012-09-12,152.0,USA,GA,Atlanta,Atlanta,0,0,4,38982526.0,,,0,10
c:37241,Company,,MC10,health,operating,2008-01-01,2013-04-18,64.0,USA,MA,Cambridge,Boston,0,0,6,40658131.0,2013-01-24,2013-04-01,2,10
c:37242,Company,,CloudShare,enterprise,operating,2007-01-01,2011-07-05,54.0,USA,CA,San Mateo,SF Bay,0,0,2,20000000.0,2009-12-11,2011-07-05,3,13
c:37243,Company,,Mobile Armor,security,acquired,2002-01-01,2010-03-03,98.0,USA,MO,St. Louis,Saint Louis,0,0,4,9000000.0,2009-07-01,2009-07-01,1,5
c:37248,Company,,Acousticeye,cleantech,operating,2006-01-01,2013-12-04,95.0,NLD,,Leusde,Leusde,0,0,3,13000000.0,,,0,3
c:37252,Company,,AdHack,advertising,operating,2008-03-10,2009-01-01,10.0,CAN,,Vancouver,Vancouver,0,0,1,81874.0,2009-05-01,2009-05-01,1,2
c:37253,Company,,Crisp,other,operating,2008-04-01,2009-05-01,13.0,USA,CA,Santa Ana,Los Angeles,0,0,2,25000.0,,,0,0
c:37254,Company,,Pfenex,biotech,operating,2009-12-07,2009-12-09,0.0,USA,CA,San Diego,San Diego,0,0,1,24000000.0,,,0,7
c:37269,Company,,Internet Gold - Golden Lines,network_hosting,ipo,1992-01-01,2009-12-09,215.0,ISR,,Petach-Tikva,Petach - Tikva,0,0,1,79000000.0,,,0,2
c:37271,Company,,Palisade Systems,enterprise,acquired,1996-01-01,2011-04-19,184.0,USA,IA,Des Moines,Des Moines,0,0,3,6582502.0,,,0,2
c:37272,Company,,Morvus Technology,biotech,operating,2004-01-01,2010-02-11,73.0,GBR,,Carmarthen,Carmarthen,0,0,1,3300000.0,,,0,2
c:37273,Company,,Personal Factory,manufacturing,operating,2004-01-01,2013-07-30,115.0,ITA,,Simbario,unknown,0,0,2,4532040.0,,,0,0
c:37284,Company,,Dibspace,finance,acquired,2008-10-01,2009-09-01,11.0,,,,unknown,0,0,1,0.0,2009-08-29,2010-04-16,2,1
c:37291,Company,,EnergySavvy.com,software,operating,2008-11-17,2012-08-02,44.0,USA,WA,Seattle,Seattle,0,0,5,5943058.0,2010-02-23,2011-10-05,3,4
c:37293,Company,,eXperticity,software,operating,2005-01-01,2007-05-02,28.0,USA,UT,Salt Lake City,Salt Lake City,0,0,1,2700000.0,2010-02-01,2010-02-01,1,12
c:37294,Company,,Fuecotech,cleantech,operating,2009-08-20,2010-12-23,16.0,USA,NY,Rochester,Rochester,0,0,2,21038087.0,2011-02-15,2011-02-20,2,4
c:37295,Company,,Atomic Moguls,web,operating,2007-01-01,2007-02-26,2.0,USA,WA,Seattle,Seattle,0,0,1,1050000.0,2008-01-01,2008-01-01,1,4
c:37304,Company,,HipChat,messaging,acquired,2009-09-01,2010-08-10,11.0,USA,CA,San Francisco,SF Bay,0,0,1,100000.0,2011-03-01,2013-06-25,2,4
c:37323,Company,,Wattvision,hardware,operating,2009-01-01,2009-01-01,0.0,USA,NJ,Princeton,Princeton,0,0,1,0.0,2009-12-16,2009-12-16,1,1
c:37333,Company,,Quickfilter Technologies,semiconductor,operating,2003-01-01,2009-12-10,83.0,USA,TX,Allen,Dallas,0,0,1,1678446.0,,,0,0
c:37334,Company,,Addoway,ecommerce,operating,2009-12-01,2009-12-01,0.0,USA,CA,San Francisco,SF Bay,0,0,1,50000.0,2009-11-20,2010-12-30,2,9
c:37335,Company,,Tatara Systems,mobile,acquired,2001-01-01,2010-06-22,114.0,USA,MA,Acton,Boston,0,0,5,33000000.0,2002-01-01,2002-01-01,1,4
c:37339,Company,,Overinteractive Media,web,operating,2008-01-01,2009-06-01,17.0,CAN,,Vancouver,Vancouver,0,0,1,138533.0,2010-12-01,2010-12-01,1,6
c:37341,Company,,DataRose,software,closed,2006-01-01,2009-12-10,47.0,USA,CO,Bailey,Bailey,0,0,1,100000.0,,,0,0
c:37343,Company,,SuVolta,semiconductor,operating,2006-01-01,2012-01-05,72.0,USA,CA,Los Gatos,SF Bay,0,0,6,65478582.0,2006-01-01,2013-08-15,3,12
c:37345,Company,,Signpost,software,operating,2010-01-01,2013-11-19,47.0,USA,NY,New York,New York,0,0,3,15000000.0,2010-10-20,2013-11-19,3,11
c:37348,Company,,Vital Therapies,biotech,operating,2003-01-01,2013-06-24,126.0,USA,CA,San Diego,San Diego,0,0,6,154401216.0,2013-05-01,2013-05-01,1,16
c:37350,Company,,Isto Technologies,biotech,operating,1997-01-01,2013-06-19,198.0,USA,MO,St. Louis,Saint Louis,0,0,3,14082326.0,,,0,3
c:37357,Company,,Medisse,biotech,operating,2006-01-01,2009-12-11,47.0,NLD,,LM Amersfoort,LM Amersfoort,0,0,1,0.0,,,0,2
c:3736,Company,,Wakozi,web,closed,2006-01-01,2006-01-01,0.0,USA,NY,New York City,New York,0,0,1,0.0,2008-03-28,2008-03-28,1,1
c:37365,Company,,Sikorsky Aircraft,manufacturing,operating,2007-01-01,2010-01-12,36.0,USA,CT,Stratford,Stratford,0,0,3,54600000.0,2011-03-17,2011-03-17,1,6
c:37366,Company,,Galectin Therapeutics,biotech,ipo,2000-12-01,2011-01-06,121.0,USA,GA,Norcross,Atlanta,0,0,13,9514000.0,2013-07-01,2013-08-12,2,22
c:37367,Company,,Biofuelbox,cleantech,operating,2006-01-01,2009-12-06,47.0,USA,CA,San Jose,SF Bay,0,0,1,5200000.0,,,0,2
c:37368,Company,,Formotus,software,operating,2005-01-01,2012-09-06,92.0,USA,WA,Bellevue,Seattle,0,0,1,225500.0,,,0,2
c:37378,Company,,Pixability,advertising,operating,2008-03-14,2013-04-12,61.0,USA,MA,Boston,Boston,0,0,3,5260157.0,2013-06-01,2013-06-01,1,6
c:37379,Company,,Clipper Windpower,cleantech,operating,2001-01-01,2009-12-09,107.0,USA,CA,Carpinteria,Santa Barbara,0,0,1,0.0,1998-01-01,1998-01-01,1,3
c:37381,Company,,Sentillion,software,acquired,1998-01-01,2001-09-01,44.0,USA,MA,Andover,Boston,0,0,4,32150000.0,2001-01-01,2001-01-01,1,5
c:37382,Company,,EVOFEM,health,operating,1996-01-01,2009-12-08,167.0,USA,CA,San Diego,San Diego,0,0,1,25000000.0,,,0,0
c:3739,Company,,Marketo,software,ipo,2006-01-01,2011-11-16,70.0,USA,CA,San Mateo,SF Bay,0,0,6,108400000.0,2013-01-01,2013-06-11,2,27
c:3742,Company,,SupportSpace,software,operating,2006-09-01,2011-07-15,58.0,USA,CA,South San Francisco,SF Bay,0,0,4,36250000.0,2009-11-25,2013-01-01,2,13
c:37424,Company,,Doyenz,enterprise,operating,2007-11-01,2011-02-25,40.0,USA,WA,Bellevue,Seattle,0,0,3,11800159.0,2010-06-01,2012-10-18,2,11
c:37426,Company,,Notify Technology,mobile,acquired,1994-08-01,2009-12-11,184.0,USA,CA,San Jose,SF Bay,0,0,1,248502.0,2001-01-01,2001-01-01,1,4
c:37429,Company,,ClearView Audio,manufacturing,operating,2005-01-01,2012-11-06,94.0,USA,MA,Waltham,Boston,0,0,8,20245000.0,2006-02-01,2011-03-28,3,4
c:37431,Company,,Trunity,education,ipo,2009-08-01,2013-06-06,46.0,USA,NH,Portsmouth,Portsmouth,0,0,3,4491500.0,2011-04-01,2013-04-15,2,8
c:3744,Company,,Bonobos,ecommerce,operating,2007-06-01,2013-03-13,69.0,USA,NY,New York,New York,0,0,6,74650016.0,2012-02-01,2013-10-18,3,13
c:37441,Company,,OpGen,biotech,operating,2002-01-01,2012-03-07,122.0,USA,MD,Gaithersburg,Washington DC,1,1,6,69202964.0,2009-12-01,2012-12-19,2,12
c:37445,Company,,Opalis Software,software,acquired,1999-01-01,2005-12-01,83.0,CAN,,"Mississauga, ON",Mississauga,0,0,1,8500000.0,2008-01-01,2008-01-01,1,7
c:37447,Company,,Outsmart,mobile,acquired,2001-01-01,2005-05-09,52.0,,,,unknown,0,0,1,17000000.0,,,0,1
c:37457,Company,,New Earth Solutions,cleantech,operating,2002-01-01,2009-12-10,95.0,USA,,"Verwood, Dorset",Verwood,0,0,2,12365937.0,,,0,2
c:37462,Company,,PharmMD,health,operating,2006-01-01,2009-12-11,47.0,USA,TN,Brentwood,Nashville,0,0,1,8800000.0,2010-03-31,2010-03-31,1,2
c:37473,Company,,GuestSpan,software,operating,2007-05-09,2009-03-20,22.0,USA,UT,Salt Lake City,Salt Lake City,0,0,1,450000.0,2009-12-01,2009-12-01,2,5
c:37480,Company,,Edusoft,other,acquired,1990-01-01,2002-02-01,145.0,ISR,,Rosh Ha'ayin,Rosh Ha'ayin,0,0,1,1000000.0,2004-01-01,2013-11-08,3,4
c:37485,Company,,Mangia,mobile,closed,2008-01-01,2009-01-01,12.0,USA,UT,Salt Lake City,Salt Lake City,0,0,1,0.0,2010-10-10,2010-10-10,1,0
c:37488,Company,,Hibernater,web,operating,2007-01-01,2007-01-01,0.0,SGP,,,Singapore - Other,0,0,1,50000.0,2008-08-29,2009-07-10,2,1
c:37495,Company,,Olapic,web,operating,2010-11-25,2013-07-30,32.0,USA,NY,New York,New York,0,0,2,6000000.0,2009-07-10,2013-10-17,3,4
c:3750,Company,,Edmodo,education,operating,2008-09-02,2012-07-19,47.0,USA,CA,San Mateo,SF Bay,0,0,3,40000000.0,2012-05-07,2013-03-06,3,8
c:37501,Company,,Summify,news,acquired,2009-11-01,2011-03-30,17.0,CAN,,Vancouver,Vancouver,0,0,3,0.0,2010-10-19,2012-01-19,2,5
c:37508,Company,,Statusly,web,operating,2009-01-01,2009-01-01,0.0,CAN,,Vancouver,Vancouver,0,0,1,0.0,2009-09-01,2010-04-15,2,2
c:3751,Company,,eYeka,software,operating,2006-01-01,2010-01-15,48.0,FRA,,Paris,Paris,0,0,2,9340000.0,2011-01-19,2011-03-01,2,8
c:37512,Company,,StarStreet,sports,operating,2009-05-01,2013-08-28,52.0,USA,MA,Cambridge,Boston,0,0,3,2100000.0,2011-01-01,2012-02-28,3,3
c:37515,Company,,Voltari,advertising,ipo,2001-01-01,2008-01-02,84.0,USA,NY,New York,New York,0,0,5,273834120.0,2011-02-03,2013-11-19,3,18
c:3752,Company,,Attentio,analytics,operating,2004-01-01,2009-11-24,71.0,BEL,,Brussels,Brussels,0,0,1,786000.0,2009-07-01,2010-02-25,2,5
c:37556,Company,,FlexEnergy,cleantech,operating,2004-01-01,2012-01-06,96.0,USA,CA,Irvine,Los Angeles,0,0,3,23700000.0,,,0,3
c:3756,Company,,Noovo,web,operating,2007-10-01,2007-10-01,0.0,USA,CA,Palo Alto,SF Bay,0,0,1,426960.0,2008-01-01,2010-01-25,3,4
