,object_id,address1,address2,city,zip_code,state_code,country_code,latitude,longitude
72,c:10106,3 Times Square,,New York,10036,NY,USA,40.7564318,-73.9871847
73,c:101062,1155 Bloomfield Avenue,,Clifton,07012,NJ,USA,0.0,0.0
74,c:10109,474 Bryant Street,,San Francisco,94107,CA,USA,37.459112,-122.142326
75,c:101090,314 Covered Bridge Road,,Cherry Hill,08034,NJ,USA,0.0,0.0
76,c:101094,,601 N. LAMAR BLVD. 300,Austin,78703,TX,USA,0.0,0.0
77,c:101102,8364 SW Nimbus Avenue,,Beaverton,97008,OR,USA,0.0,0.0
78,c:10114,"114 W. Illinois,",3rd Floor,Chicago,60610,IL,USA,41.8908028,-87.63166170000002
79,c:101149,1700 nw 65th ave Suite 3,,Plantation,33313,FL,USA,0.0,0.0
80,c:10117,819 9th Street,Suite 207,San Francisco,94107,CA,USA,37.8255226,-122.3693356
81,c:10119,100 Park Avenue,,New York,10017-5529,NY,USA,40.751513,-73.9779465
82,c:10123,"3701 FAU Blvd, Suite 210",,Boca Raton,33431,FL,USA,26.383036,-80.097933
83,c:10125,PO Box 3892,,St Charles,60174,IL,USA,41.931912,-88.294854
84,c:101269,7110 E. Continental Dr,Suite 2043,Scottsdale,85257,AZ,USA,0.0,0.0
85,c:10129,460 Park Avenue South,4th Floor,New York,10016,NY,USA,0.0,0.0
86,c:10131,"350 Ellis Street, Bldg. J",,Mountain View,94043-2202,CA,USA,0.0,0.0
87,c:101312,122 West 26th Street,8th Floor,New York,10001,NY,USA,40.745064,-73.992637
88,c:101317,900 Broadway,Suite 706,New York,10003,NY,USA,0.0,0.0
89,c:10132,Wells Avenue,,Newton,0,MA,USA,0.0,0.0
90,c:101324,465 Calderon Avenue,Suite 22,Mountain View,94041,CA,USA,0.0,0.0
91,c:101335,556 East Technology Ave. Ste #2100,,Orem,84097,UT,USA,0.0,0.0
92,c:101340,,,San Francisco,0,CA,USA,0.0,0.0
93,c:101349,16602 Ashwood Dr,,Tampa,33624,FL,USA,0.0,0.0
94,c:10137,242W 30th Street,Suite 501,New York,10001,NY,USA,40.775309,-73.98365600000002
95,c:10138,P.O. Box 821650,,Vancouver,98682,WA,USA,45.6667514,-122.47215420000002
96,c:101381,4300 N. Central Expy,ste 325,Dallas,75206,TX,USA,0.0,0.0
97,c:10139,75 Maiden Lane,12th Floor,New York,10038,NY,USA,40.707729,-74.007801
98,c:101431,330 Brookline Avenue,,Boston,02215,MA,USA,0.0,0.0
99,c:10145,540 University Ave,Suite 50,Palo Alto,94301,CA,USA,37.448598,-122.158497
100,c:10146,505 Montgormery St.,11th floor,San Francisco,94111,CA,USA,37.794124,-122.403223
101,c:101463,6902 Patterson Pass Road,Suite G,Livermore,94550,CA,USA,0.0,0.0
102,c:10148,,,Philadelphia,0,PA,USA,39.951639,-75.16380799999997
103,c:101481,,,Redwood City,0,CA,USA,0.0,0.0
104,c:101489,5100 Burchette Road,Ste. 1905,Tampa,33647,FL,USA,0.0,0.0
105,c:10150,2339 3rd Street,,San Francisco,94107,CA,USA,37.758737,-122.388336
106,c:101503,"90 New Montgomery, Suite 250",,San Francisco,94105,CA,USA,0.0,0.0
107,c:101511,4717 Campus Drive,,Kalamazoo,49008,MI,USA,0.0,0.0
108,c:101519,"4350 Lockhill Selma Rd,",Suite 150,Shavano Park,78249,TX,USA,0.0,0.0
109,c:10152,5150 El Camino Real,Suite D30,Los Altos,94022,CA,USA,37.419432,-122.087349
110,c:101527,,,Washington,0,WA,USA,0.0,0.0
111,c:10153,5A Worthington Access Drive,,Saint Louis,63043,MO,USA,38.703764,-90.443832
112,c:101530,4400 Teasley Lane,#100,Denton,76210,TX,USA,0.0,0.0
113,c:10154,1330 Beacon St,,Brookline,02446,MA,USA,42.342152,-71.121625
114,c:10155,,,San Francisco,0,CA,USA,37.775196,-122.419204
115,c:101560,505 N. Brand Blvd,Suite 1600,Glendale,91203,CA,USA,0.0,0.0
116,c:10158,1400 18th Ave. South,Suite A2 West,Nashville,37212,TN,USA,36.13996,-86.796377
117,c:10159,1400 Fashion Island Blvd,Suite 505,San Mateo,94404,CA,USA,37.555962,-122.288006
118,c:10161,One Cranberry Hill,,Lexington,02421,MA,USA,0.0,0.0
119,c:10166,601 East Third Street,,Little Rock,72201,AR,USA,34.7453104,-92.2647169
120,c:10167,,,0,0,NY,USA,40.756054,-73.986951
121,c:10169,800 West El Camino Real,Ste 800,Mountain View,94040,CA,USA,37.386665,-122.084171
122,c:1017,2390A 4th Street,,Berkeley,94710,CA,USA,37.862209,-122.298168
123,c:10170,400 S. El Camino Real,Suite 500,San Mateo,94402,CA,USA,37.561877,-122.325248
