object_id,last_funding_round_type,funding_rounds_count,number_of_participants
c:106,series-b,5,5
c:106079,private-equity,3,3
c:10608,angel,1,0
c:10610,venture,3,6
c:106123,angel,1,3
c:10614,venture,1,5
c:10616,series-c+,1,2
c:1062,series-c+,6,19
c:10621,series-a,1,1
c:106222,angel,1,1
c:10623,venture,1,0
c:1063,venture,8,28
c:106304,series-a,1,1
c:106325,angel,1,0
c:106335,venture,1,0
c:106349,angel,1,0
c:106396,angel,2,5
c:10643,series-b,1,0
c:10649,angel,1,0
c:10652,angel,2,2
c:106601,series-a,3,2
c:10667,angel,1,0
c:10668,angel,1,0
c:10669,angel,1,0
c:1067,venture,4,8
c:106707,venture,1,1
c:10677,series-b,1,2
c:106775,angel,1,2
c:1068,series-a,1,1
c:10684,angel,1,1
c:1069,series-b,2,3
c:107,series-c+,4,14
c:1070,series-c+,2,5
c:10700,angel,1,0
c:10702,series-b,1,1
c:10703,series-c+,5,15
c:10704,venture,10,23
c:10705,venture,6,20
c:107098,venture,1,1
c:1071,venture,3,6
c:10711,venture,2,1
c:107145,series-a,1,1
c:10716,other,3,4
c:107188,series-c+,1,3
c:10726,series-a,2,4
c:1075,other,4,7
c:10750,angel,1,1
c:10751,series-a,2,2
c:107565,angel,1,2
c:10769,angel,1,1
c:107746,venture,2,3
c:1078,series-c+,4,30
c:10781,angel,1,0
c:10788,series-a,2,0
c:107930,series-b,2,4
c:10794,venture,3,5
c:10795,venture,3,7
c:1080,series-b,2,11
c:108029,venture,1,1
c:108051,venture,2,2
c:108052,series-a,3,3
c:108085,venture,7,3
c:1081,series-a,2,13
c:10810,angel,1,0
c:108133,venture,1,1
c:10816,other,1,0
c:10817,series-b,3,7
c:10818,series-a,1,3
c:1082,series-b,1,1
c:10821,series-a,3,2
c:108233,venture,1,1
c:10839,series-a,2,0
c:108414,angel,1,0
c:10856,venture,2,4
c:10857,venture,1,0
c:10858,series-a,1,0
c:10864,series-a,1,3
c:10868,angel,1,0
c:10873,series-a,2,0
c:1088,other,6,21
c:10887,angel,1,0
c:109,venture,6,30
c:1090,other,4,11
c:10904,series-a,1,0
c:10906,other,4,6
c:10912,series-b,1,2
c:10913,venture,3,12
c:10914,other,1,1
c:10915,series-c+,1,5
c:10917,venture,4,14
c:1092,series-c+,3,20
c:10923,angel,1,0
c:10925,series-c+,3,12
c:10926,venture,3,4
c:10930,series-c+,4,0
c:109364,series-a,2,7
c:1094,series-a,1,2
c:10940,angel,1,3
c:10944,series-a,2,2
c:10945,angel,1,0
c:10947,angel,1,0
c:109470,venture,1,1
c:10948,venture,2,3
c:109480,series-c+,3,11
c:1095,series-c+,5,10
c:10956,venture,1,1
c:109593,series-a,1,0
c:109603,venture,1,0
c:109607,series-c+,3,11
c:10963,angel,1,0
c:10967,series-a,1,0
c:10969,series-c+,3,3
c:10971,angel,1,0
c:10973,angel,2,0
c:10976,series-a,1,4
c:109797,venture,2,1
c:109821,series-a,1,2
c:109878,venture,1,1
c:109893,angel,1,0
c:10998,other,2,2
c:1100,venture,1,1
c:11002,venture,1,2
c:1101,series-b,3,8
c:1102,angel,1,5
c:110226,angel,2,7
c:11027,angel,1,0
c:11028,angel,1,1
c:1103,series-b,5,6
c:11033,angel,1,1
c:11034,venture,1,1
c:110372,angel,1,1
c:1104,other,2,3
c:11042,series-b,3,12
c:1105,series-c+,4,12
c:110548,venture,1,1
c:110571,series-a,1,1
c:11065,angel,1,0
c:110668,series-b,3,9
c:110691,angel,1,0
c:1107,other,4,13
c:110713,venture,1,1
c:110727,venture,1,2
c:11073,venture,1,1
c:110731,angel,1,1
c:110743,series-a,1,1
c:110746,venture,3,1
c:110795,venture,4,3
c:11094,series-b,1,4
c:110943,angel,2,3
c:111003,angel,3,0
c:1111,series-b,2,2
c:11118,series-b,4,10
c:11121,series-a,1,1
c:11151,series-a,2,1
c:11158,series-a,1,1
c:11164,series-c+,1,4
c:1117,series-a,1,1
c:11170,angel,1,0
c:111733,series-a,1,3
c:11181,angel,1,0
c:111830,angel,2,8
c:111864,angel,1,0
c:111892,venture,1,1
c:11193,series-a,1,1
c:112,series-a,1,1
c:1120,series-b,2,5
c:112052,angel,1,0
c:11225,series-a,1,2
c:11226,series-a,1,1
c:11227,private-equity,1,0
c:112581,angel,1,0
c:112605,venture,1,1
c:11271,venture,2,0
c:11275,venture,4,6
c:11279,series-b,3,8
c:1129,angel,1,0
c:112934,venture,1,2
c:11296,series-a,1,0
c:11297,angel,1,0
c:113,private-equity,7,5
c:11302,private-equity,3,1
c:11303,angel,2,0
c:11307,series-a,1,6
c:11328,angel,1,1
c:11332,venture,1,0
c:113396,series-a,4,3
c:11356,angel,2,1
c:11362,venture,2,2
c:11363,venture,4,15
c:113663,other,4,2
c:11368,angel,1,1
c:11378,venture,3,7
c:1138,angel,1,0
c:113820,angel,1,0
c:11383,angel,1,0
c:11391,venture,7,23
c:11394,angel,1,1
c:11397,series-b,2,9
c:1140,angel,1,0
c:11401,series-a,2,24
c:11409,other,3,5
c:11410,other,2,1
c:114113,venture,1,1
c:11415,series-b,1,3
c:11416,angel,1,0
c:11418,series-a,5,13
c:11422,venture,2,0
c:11423,other,3,3
c:11424,angel,1,1
c:11429,series-a,2,19
c:1143,angel,1,0
c:11437,series-a,1,1
c:11438,series-a,1,1
c:11439,series-a,1,1
c:1145,angel,1,1
c:114628,other,2,0
c:114782,series-b,2,8
c:114785,angel,1,1
c:1148,series-a,1,2
c:114848,venture,1,1
c:11487,angel,1,1
c:11491,other,3,3
c:114919,angel,1,0
c:114930,angel,1,2
c:11498,angel,1,3
c:11501,series-b,3,4
c:115013,angel,2,3
c:11506,venture,2,10
c:11507,series-b,2,2
c:1151,series-a,2,4
c:11514,series-a,3,11
c:11521,venture,2,0
c:11531,series-c+,3,8
c:11536,angel,1,1
c:11538,venture,4,6
c:11539,angel,4,2
c:11542,series-a,2,0
c:1155,angel,1,0
c:11552,series-a,2,7
c:115622,angel,1,1
c:11563,venture,4,10
c:115645,venture,1,1
c:11570,series-c+,1,1
c:11571,series-a,6,18
c:11572,series-c+,1,5
c:11574,venture,4,10
c:11578,venture,1,1
c:11579,series-c+,4,7
c:11583,series-a,1,2
c:116,angel,1,0
c:11600,series-b,2,5
c:11613,angel,1,0
c:116174,series-b,2,3
c:116225,series-a,2,8
c:11623,venture,1,0
c:116280,venture,2,0
c:1163,series-c+,3,22
c:1164,venture,2,2
c:11642,series-c+,3,14
c:116428,angel,1,0
c:11644,series-c+,2,7
c:116449,series-a,2,5
c:11648,angel,1,1
c:1165,venture,3,5
c:116637,venture,1,1
c:116756,venture,1,0
c:116796,angel,1,0
c:11684,venture,2,8
c:11685,angel,1,1
c:11686,venture,1,1
c:1170,series-a,1,1
c:11700,series-c+,4,6
c:117022,series-a,2,12
c:117101,angel,1,5
c:1172,series-a,1,1
c:117217,angel,1,1
c:11722,venture,1,1
c:117354,other,6,0
c:117359,series-a,1,1
c:117389,venture,1,0
c:11741,venture,1,0
c:117503,venture,1,0
c:11755,venture,3,4
c:117614,series-a,2,2
c:11766,angel,1,0
c:1177,series-c+,4,7
c:11776,series-a,2,0
c:117823,angel,1,0
c:117865,angel,1,2
c:1179,series-b,2,4
c:117902,venture,3,3
c:117948,series-a,1,2
c:118,series-c+,10,10
c:11803,angel,1,1
c:11806,angel,1,0
c:11814,series-b,2,4
c:11815,angel,1,1
c:11817,series-c+,4,12
c:11819,series-c+,3,16
c:11820,series-a,1,2
c:11821,series-b,1,3
c:118286,other,2,6
c:118308,series-c+,4,10
c:11835,angel,1,0
c:11837,series-b,2,4
c:1184,series-c+,3,8
c:118418,angel,2,0
c:11843,series-c+,3,8
